job_name;job_id;collection_id;task_type;task_tags;user_group;timestamp_start_in_ms;timestamp_end_in_ms;annotation_completed_count;zero_annotation_count;task_completed_count;submission_count;total_time_working_in_sec;working_time_in_sec;label_statistics
rdar://48507732_Scenenet_CROPPING_Vertical for cropping_drop13_batch2;642cd974-4ad5-4995-9bcb-2638c1474740;7ae34c7c-ad28-44c4-8828-3a7593dc139f;RotatableBox2DTask;add;MDY;;;113444;0;113444;113444;;{'percentile_25': 4.935, 'percentile_50': 6.211, 'percentile_75': 7.991, 'total': 805752.88};[]
Rdar://48453580_CA_MDY-31 for MLP_prod_vy5rd6l2_31_PROJECTED_CUBOID_SEQUENCE;18e336bf-179f-46ea-aa17-2170a1e16c6b;59641229-fec8-4ebb-8d36-5f506f5a609c;JSONTask;add;MDY;;;644442;0;8083;8083;;{'percentile_25': 52.572, 'percentile_50': 78.405, 'percentile_75': 130.6175, 'total': 833482.169};[]
Rdar://48453580_CA_MDY-31 for MLP_prod_vy5rd6l2_31_PROJECTED_CUBOID_SEQUENCE;18e336bf-179f-46ea-aa17-2170a1e16c6b;3d7efabe-fc2e-4598-8423-8527887e0e96;JSONTask;approve;MDY;;;724047;0;9080;9080;;{'percentile_25': 32.10325, 'percentile_50': 46.3705, 'percentile_75': 83.425, 'total': 664201.284};[]
Rdar://48453580_CA_MDY-32 for MLP_prod_vy5rd6l2_32_PROJECTED_CUBOID_SEQUENCE;36ee4b83-2c54-4802-9107-ee077b530d28;d8bb5a79-1a8e-4544-a49c-fbc48dc7d357;JSONTask;add;MDY;;;652097;0;8165;8165;;{'percentile_25': 62.577, 'percentile_50': 95.124, 'percentile_75': 159.046, 'total': 1009124.425};[]
Rdar://48453580_CA_MDY-32 for MLP_prod_vy5rd6l2_32_PROJECTED_CUBOID_SEQUENCE;36ee4b83-2c54-4802-9107-ee077b530d28;5317c0f1-75e4-4a89-bdee-8d66cb6b0fec;JSONTask;approve;MDY;;;727333;0;9108;9108;;{'percentile_25': 28.33475, 'percentile_50': 39.4575, 'percentile_75': 60.6815, 'total': 515810.006};[]
Rdar://48453580_CA_MDY-33 for MLP_prod_vy5rd6l2_33_PROJECTED_CUBOID_SEQUENCE;c92463ed-fc64-448f-909d-fe763189e925;a2fd0755-6847-46de-ba45-b638322fb48c;JSONTask;add;MDY;;;642063;0;8039;8039;;{'percentile_25': 53.3825, 'percentile_50': 79.755, 'percentile_75': 133.467, 'total': 875646.965};[]
Radar://48456560_FSL_APN_24 for MLP_prod_8m5o3q5y_24_JPEG;2146020a-0e94-43a1-960a-fdc7ade69c9b;4c2229da-fa69-486c-9051-0dda4d048280;AlignedBox2DTask;add;MDY;;;64984;0;899;899;;{'percentile_25': 3730.284, 'percentile_50': 5282.034, 'percentile_75': 7253.941, 'total': 5380997.707};[]
Radar://48456560_FSL_APN_24 for MLP_prod_8m5o3q5y_24_JPEG;2146020a-0e94-43a1-960a-fdc7ade69c9b;de5fe6d4-edca-4167-9647-b8655020a1a0;AlignedBox2DTask;approve;MDY;;;3677;0;50;50;;{'percentile_25': 426.02925, 'percentile_50': 595.13, 'percentile_75': 820.3955, 'total': 35365.259};[]
Rdar://48453580_CA_MDY-33 for MLP_prod_vy5rd6l2_33_PROJECTED_CUBOID_SEQUENCE;c92463ed-fc64-448f-909d-fe763189e925;d501e03e-c13d-4ea3-8d26-77ea8f801ea0;JSONTask;approve;MDY;;;307626;0;3850;3850;;{'percentile_25': 25.4605, 'percentile_50': 34.733, 'percentile_75': 50.666, 'total': 168907.407};[]
Rdar://48453580_CA_MDY-34 for MLP_prod_vy5rd6l2_34_PROJECTED_CUBOID_SEQUENCE;b183b105-ded7-46cb-be1a-7d4d0aa54f50;b4fc45ee-b9b7-46e2-b50e-cd59851f0803;JSONTask;add;MDY;;;210311;0;2637;2637;;{'percentile_25': 52.65, 'percentile_50': 80.467, 'percentile_75': 131.201, 'total': 296742.309};[]
Radar://48456560_FSL_10 for MLP_prod_8m5o3q5y_10_JPEG;f626c3cb-3011-4ca7-994d-01fa1cead0bf;5fb5dfdd-c3a5-4b41-a5ed-78a912fb2bec;AlignedBox2DTask;approve;MDY;;;9623;0;135;135;;{'percentile_25': 568.7005, 'percentile_50': 978.288, 'percentile_75': 1892.326, 'total': 202669.951};[]
